ship_id,name,model,manufacturer,starship_class,hyperdrive_rating,mglt,is_hyperspace_capable,crew,passengers,cargo_capacity,cost_in_credits,length,max_atmosphering_speed,pilots,films
6,A-wing,RZ-1 A-wing interceptor,Alliance Underground Engineering,Interceptor,1.0,120.0,True,1.0,0.0,40.0,175000.0,9.6,1300.0,,"Return of the Jedi, The Last Jedi"
12,ARC-170,Aggressive ReConnaissance-170 starfighter,"Incom Corporation, Subpro Corporation",Starfighter,1.0,100.0,True,3.0,0.0,110.0,,14.5,1000.0,,Revenge of the Sith
7,B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,Assault starfighter,2.0,91.0,True,1.0,0.0,45.0,220000.0,16.9,950.0,,Return of the Jedi
19,Delta-7 Aethersprite,Delta-7 Aethersprite-class light interceptor,Kuat Systems Engineering,Interceptor,1.0,90.0,True,1.0,0.0,60.0,,8.0,1150.0,Obi-Wan Kenobi,Attack of the Clones
59,Droid Control Ship,Lucrehulk-class battleship,Hoersch-Kessel Drive,Battleship,2.0,60.0,True,150.0,0.0,55000000.0,,3170.0,950.0,,The Phantom Menace
54,Droid Gunship,Heavy Missile Platform,Baktoid Fleet Ordnance,Gunship,1.0,100.0,True,,,,,12.0,950.0,,The Clone Wars
13,Eta-2 Actis,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,Interceptor,1.0,85.0,True,1.0,0.0,60.0,,5.47,1500.0,"Anakin Skywalker, Obi-Wan Kenobi",Revenge of the Sith
9,Executor,Executor-class Star Dreadnought,"Kuat Drive Yards, Fondor Shipyards",Star Dreadnought,4.0,40.0,True,279144.0,38000.0,250000000.0,1143350000.0,19000.0,975.0,Darth Vader,"The Empire Strikes Back, Return of the Jedi"
28,Geonosian Starfighter,Nantex-class territorial defense starfighter,Huppla Pasa Tisc Shipwrights Collective,Starfighter,1.0,100.0,True,1.0,0.0,30.0,,9.8,1200.0,,Attack of the Clones
46,Havoc Marauder,Omicron-class attack shuttle,Cygnus Spaceworks,Attack shuttle,1.0,70.0,True,2.0,12.0,70000.0,,22.3,1050.0,Clone Force 99,The Bad Batch
29,Hound's Tooth,YT-2000 light freighter,Corellian Engineering Corporation,Light freighter,1.0,75.0,True,6.0,10.0,500000.0,,20.0,850.0,Bossk,The Clone Wars
53,Hyena Bomber,Baktoid Armor Workshop,"Colla Designs, Phlac-Arphocc Automata Industries",Starfighter,1.0,100.0,True,,,,,14.9,1180.0,,The Clone Wars
20,Imperial Shuttle,Lambda-class T-4a shuttle,Sienar Fleet Systems,Shuttle,1.0,50.0,True,6.0,20.0,80000.0,,20.0,850.0,Emperor Palpatine,Return of the Jedi
24,Imperial Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,Capital ship,2.0,60.0,True,47060.0,0.0,36000000.0,150000000.0,1600.0,975.0,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
56,Invisible Hand,Providence-class Dreadnought,Free Dac Volunteers Engineering Corps,Dreadnought,1.5,60.0,True,600.0,0.0,15000000.0,,1088.0,950.0,General Grievous,Revenge of the Sith
58,Invisible Hand,Providence-class Dreadnought,Free Dac Volunteers Engineering Corps,Dreadnought,1.5,60.0,True,600.0,0.0,15000000.0,,1088.0,950.0,General Grievous,Revenge of the Sith
42,J-type 327 Nubian,J-type 327,Theed Palace Space Vessel Engineering Corps,Yacht,1.8,75.0,True,8.0,20.0,2000000.0,,76.0,920.0,Queen Amidala,The Phantom Menace
16,Jedi Interceptor,Eta-2 Actis-class interceptor,Kuat Systems Engineering,Interceptor,1.0,85.0,True,1.0,0.0,60.0,,5.47,1500.0,"Anakin Skywalker, Obi-Wan Kenobi",Revenge of the Sith
50,Jedi Starfighter,Delta-7 Aethersprite-class light interceptor,Kuat Systems Engineering,Interceptor,1.0,90.0,True,1.0,0.0,60.0,,8.0,1150.0,Obi-Wan Kenobi,Attack of the Clones
47,Luthen's Ship,Fondor Haulcraft,Fondor Shipyards,Haulcraft,1.0,80.0,True,1.0,6.0,100000.0,,34.8,1000.0,Luthen Rael,Andor
55,Malevolence,Subjugator-class heavy cruiser,Free Dac Volunteers Engineering Corps,Heavy cruiser,1.5,60.0,True,216.0,0.0,14000000.0,,4845.0,975.0,General Grievous,The Clone Wars
57,Malevolence,Subjugator-class heavy cruiser,Free Dac Volunteers Engineering Corps,Heavy cruiser,1.5,60.0,True,216.0,0.0,14000000.0,,4845.0,975.0,General Grievous,The Clone Wars
1,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,Light freighter,0.5,75.0,True,4.0,6.0,100000.0,100000.0,34.75,1050.0,"Han Solo, Chewbacca","A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker"
49,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,Light freighter,0.5,75.0,True,4.0,6.0,100000.0,100000.0,34.75,1050.0,"Han Solo, Chewbacca","A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker"
15,Naboo N-1 Starfighter,N-1,Theed Palace Space Vessel Engineering Corps,Starfighter,1.0,100.0,True,1.0,0.0,65.0,,11.0,1100.0,Anakin Skywalker,"The Phantom Menace, Attack of the Clones"
44,Naboo N-1 Starfighter,N-1,Theed Palace Space Vessel Engineering Corps,Starfighter,1.0,100.0,True,1.0,0.0,65.0,,11.0,1100.0,Anakin Skywalker,"The Phantom Menace, Attack of the Clones"
32,Naboo Royal Cruiser,J-type diplomatic barge,Theed Palace Space Vessel Engineering Corps,Yacht,1.8,75.0,True,8.0,50.0,500000.0,,115.0,920.0,Queen Amidala,Attack of the Clones
43,Naboo Royal Starship,J-type 327 Nubian,Theed Palace Space Vessel Engineering Corps,Yacht,1.8,75.0,True,8.0,20.0,2000000.0,,76.0,920.0,Queen Amidala,The Phantom Menace
11,Naboo Royal Starship,J-type 327 Nubian,Theed Palace Space Vessel Engineering Corps,Yacht,1.8,75.0,True,8.0,20.0,2000000.0,,76.0,920.0,Queen Amidala,The Phantom Menace
39,Naboo Yacht,J-type star skiff,Theed Palace Space Vessel Engineering Corps,Yacht,1.8,75.0,True,8.0,30.0,300000.0,,29.2,920.0,Padm\'c3\'a9 Amidala,Revenge of the Sith
37,Outrider,YT-2400 light freighter,Corellian Engineering Corporation,Light freighter,0.75,70.0,True,2.0,6.0,70000.0,,21.5,950.0,Dash Rendar,Shadows of the Empire
36,Phantom,VCX-series auxiliary starfighter,Corellian Engineering Corporation,Auxiliary starfighter,1.0,90.0,True,1.0,6.0,40000.0,,14.1,1050.0,Ezra Bridger,Star Wars Rebels
38,Razor Crest,ST-70 Assault Ship,Kuat Drive Yards,Assault ship,1.0,75.0,True,2.0,6.0,50000.0,,24.0,1000.0,Din Djarin,The Mandalorian
10,Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",Medium transport,4.0,20.0,True,6.0,90.0,19000000.0,3000000.0,90.0,650.0,,"The Empire Strikes Back, Return of the Jedi"
30,Scimitar,Sith Infiltrator,Republic Sienar Systems,Starfighter,1.5,80.0,True,1.0,6.0,150000.0,,26.5,1180.0,Darth Maul,The Phantom Menace
45,Sith Infiltrator,Scimitar,Republic Sienar Systems,Starfighter,1.5,80.0,True,1.0,6.0,150000.0,,26.5,1180.0,Darth Maul,The Phantom Menace
17,Sith Infiltrator,Scimitar,Republic Sienar Systems,Starfighter,1.5,80.0,True,1.0,6.0,150000.0,,26.5,1180.0,Darth Maul,The Phantom Menace
25,Sith Speeder,FC-20 speeder bike,Razalon,Speeder,,,False,1.0,0.0,10.0,,2.0,180.0,Darth Maul,The Phantom Menace
5,Slave 1,Firespray-31-class patrol and attack craft,Kuat Systems Engineering,Patrol craft,3.0,70.0,True,1.0,6.0,80000.0,,21.5,1000.0,Boba Fett,"The Empire Strikes Back, Attack of the Clones, The Mandalorian"
22,Slave II,Firespray-31-class patrol and attack craft,Kuat Systems Engineering,Patrol craft,3.0,70.0,True,1.0,6.0,80000.0,,21.5,1000.0,Boba Fett,"The Empire Strikes Back, Attack of the Clones, The Mandalorian"
34,Snowspeeder,T-47 airspeeder,Incom Corporation,Airspeeder,,,False,2.0,0.0,10.0,,5.3,650.0,Luke Skywalker,The Empire Strikes Back
27,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,Sloop,1.5,60.0,True,3.0,11.0,180000.0,,15.2,,Count Dooku,Attack of the Clones
26,Speeder Bike,74-Z speeder bike,Aratech Repulsor Company,Speeder,,,False,1.0,1.0,4.0,,3.0,360.0,,Return of the Jedi
4,Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,Capital ship,2.0,60.0,True,47060.0,0.0,36000000.0,150000000.0,1600.0,975.0,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
41,TIE Advanced x1,TIE Advanced x1,Sienar Fleet Systems,Starfighter,1.0,105.0,True,1.0,0.0,75.0,,9.2,1200.0,Darth Vader,A New Hope
23,TIE Bomber,TIE/sa bomber,Sienar Fleet Systems,Bomber,1.0,60.0,True,1.0,0.0,40.0,,7.8,850.0,,The Empire Strikes Back
3,TIE Fighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,Starfighter,1.0,100.0,True,1.0,0.0,65.0,75000.0,8.99,1200.0,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
48,Tantive IV,CR90 corvette,Corellian Engineering Corporation,Corvette,2.0,60.0,True,165.0,30.0,3000000.0,3500000.0,150.0,950.0,Leia Organa,"A New Hope, Revenge of the Sith"
21,Tantive IV,CR90 corvette,Corellian Engineering Corporation,Corvette,2.0,60.0,True,165.0,30.0,3000000.0,3500000.0,150.0,950.0,Leia Organa,"A New Hope, Revenge of the Sith"
35,The Ghost,VCX-100 light freighter,Corellian Engineering Corporation,Light freighter,1.0,70.0,True,4.0,6.0,70000.0,,43.9,1025.0,Hera Syndulla,Star Wars Rebels
31,Tie Interceptor,TIE/in interceptor,Sienar Fleet Systems,Starfighter,1.0,110.0,True,1.0,0.0,75.0,,9.6,1250.0,,Return of the Jedi
52,Tri-Fighter,Droid Tri-Fighter,"Colla Designs, Phlac-Arphocc Automata Industries",Starfighter,1.0,100.0,True,,,,,5.4,1180.0,,Revenge of the Sith
40,U-wing,UT-60D,Incom Corporation,Transport,1.0,80.0,True,4.0,8.0,40000.0,,24.2,950.0,Cassian Andor,Rogue One
18,V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,Starfighter,1.0,90.0,True,1.0,0.0,60.0,,7.9,1050.0,,Revenge of the Sith
14,Venator-class Star Destroyer,Venator-class,Kuat Drive Yards,Capital ship,2.0,60.0,True,7400.0,2000.0,20000000.0,,1137.0,975.0,,"Revenge of the Sith, The Clone Wars"
60,Venator-class Star Destroyer,Venator-class,Kuat Drive Yards,Capital ship,2.0,60.0,True,7400.0,2000.0,20000000.0,,1137.0,975.0,,"Revenge of the Sith, The Clone Wars}"
51,Vulture Droid,Variable Geometry Self-Propelled Battle Droid,Haor Chall Engineering,Starfighter,1.0,100.0,True,,,,,3.5,1200.0,,The Phantom Menace
33,X-34 Landspeeder,X-34,SoroSuub Corporation,Landspeeder,,,False,1.0,1.0,5.0,,3.4,250.0,Luke Skywalker,A New Hope
2,X-wing,T-65 X-wing starfighter,Incom Corporation,Starfighter,1.0,100.0,True,1.0,0.0,110.0,149999.0,12.5,1050.0,Luke Skywalker,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker"
8,Y-wing,BTL Y-wing starfighter,Koensayr Manufacturing,Assault starfighter,1.0,80.0,True,2.0,0.0,110.0,135000.0,23.4,1000.0,,"A New Hope, The Empire Strikes Back, Return of the Jedi"
